"Date (UTC)","Timestamp (UTC)","<250","250-274","275-299","300-324","325-349","350-374","375-399","400-424","425-449","450-474","475-499","500-524","525-549","550+"
"01-27-2025 21:00","1738011604","0.45","0.165","0.135","0.095","0.055","0.045","0.021","0.014","0.006","0.0085","0.0025","0.003","0.002","0.0035"
"01-27-2025 22:00","1738015204","0.49","0.155","0.135","0.095","0.055","0.04","0.021","0.0135","0.006","0.004","0.0025","0.003","0.002","0.004"
"01-27-2025 23:00","1738018804","0.545","0.165","0.125","0.095","0.045","0.028","0.012","0.009","0.0035","0.003","0.0025","0.0025","0.002","0.003"
"01-28-2025 00:00","1738022404","0.54","0.145","0.1","0.08","0.045","0.0295","0.017","0.0075","0.003","0.003","0.0025","0.002","0.002","0.0025"
"01-28-2025 01:00","1738026004","0.625","0.12","0.095","0.065","0.0385","0.0235","0.0095","0.0065","0.003","0.0025","0.0025","0.002","0.002","0.002"
"01-28-2025 02:00","1738029605","0.685","0.115","0.095","0.055","0.034","0.0195","0.0085","0.0045","0.002","0.0015","0.0015","0.0015","0.0015","0.0015"
"01-28-2025 03:00","1738033204","0.685","0.11","0.095","0.055","0.0335","0.021","0.01","0.005","0.0025","0.002","0.0015","0.0015","0.0015","0.0015"
"01-28-2025 04:00","1738036804","0.615","0.165","0.085","0.06","0.0305","0.021","0.0075","0.005","0.0025","0.002","0.0015","0.002","0.0015","0.0015"
"01-28-2025 05:00","1738040404","0.695","0.11","0.075","0.055","0.0305","0.017","0.0045","0.0045","0.002","0.002","0.0015","0.002","0.0015","0.002"
"01-28-2025 06:00","1738044004","0.645","0.14","0.075","0.055","0.033","0.018","0.0055","0.0045","0.002","0.002","0.0015","0.002","0.002","0.002"
"01-28-2025 07:00","1738047603","0.68","0.14","0.075","0.055","0.029","0.0165","0.0055","0.0045","0.002","0.002","0.0015","0.0015","0.002","0.002"
"01-28-2025 08:00","1738051203","0.68","0.115","0.08","0.06","0.0305","0.015","0.005","0.0035","0.0025","0.002","0.0015","0.0015","0.002","0.002"
"01-28-2025 09:00","1738054804","0.7","0.115","0.08","0.05","0.0305","0.0125","0.0055","0.0035","0.0025","0.0015","0.0015","0.0015","0.0015","0.002"
"01-28-2025 10:00","1738058404","0.705","0.115","0.075","0.045","0.026","0.0135","0.006","0.0035","0.0025","0.0015","0.0015","0.0015","0.0015","0.002"
"01-28-2025 11:00","1738062004","0.71","0.115","0.08","0.05","0.032","0.0105","0.0055","0.0035","0.002","0.0015","0.001","0.0015","0.001","0.0015"
"01-28-2025 12:00","1738065604","0.675","0.15","0.085","0.05","0.0235","0.011","0.0055","0.0015","0.002","0.0015","0.0015","0.001","0.0015","0.0015"
"01-28-2025 13:00","1738069204","0.675","0.17","0.08","0.04","0.017","0.0085","0.0055","0.003","0.002","0.0015","0.0015","0.001","0.0015","0.0015"
"01-28-2025 14:00","1738072803","0.68","0.15","0.075","0.0335","0.0165","0.011","0.0055","0.003","0.002","0.0015","0.0015","0.001","0.0015","0.0015"
"01-28-2025 15:00","1738076403","0.675","0.17","0.08","0.036","0.014","0.0095","0.0055","0.0025","0.002","0.0015","0.0015","0.001","0.0015","0.0015"
"01-28-2025 16:00","1738080004","0.685","0.17","0.085","0.034","0.015","0.008","0.0055","0.0025","0.002","0.0015","0.0015","0.001","0.0015","0.0015"
"01-28-2025 17:00","1738083604","0.69","0.135","0.075","0.03","0.0155","0.008","0.005","0.003","0.002","0.0015","0.0015","0.0005","0.0015","0.0015"
"01-28-2025 18:00","1738087204","0.76","0.125","0.07","0.0295","0.0115","0.0055","0.005","0.003","0.002","0.0005","0.0015","0.0005","0.0015","0.0015"
"01-28-2025 19:00","1738090804","0.745","0.14","0.06","0.0365","0.0105","0.007","0.003","0.003","0.002","0.0005","0.0005","0.0005","0.0005","0.0015"
